epoch,tr_loss,tr_acc,val_loss,val_acc1,val_acc5,time_s
115,0.8895,73.4,1.5411,59.62,86.13,53.3
116,0.877,73.67,2.032,51.67,79.29,53.3
117,0.8707,74.152,1.7014,56.74,84.79,53.2
118,0.8577,74.458,1.7526,55.51,83.69,53.2
119,0.8472,74.456,1.6984,55.69,83.56,53.4
120,0.8508,74.398,1.61,58.59,84.6,53.2
121,0.828,75.104,1.5992,58.68,85.45,53.1
122,0.8122,75.612,1.6869,57.6,84.31,53.0
123,0.8042,75.888,1.5675,59.72,85.63,53.0
124,0.7967,75.84,1.9402,53.11,80.81,53.2
125,0.791,76.116,1.5582,59.57,85.99,52.9
126,0.7677,76.63,1.7095,56.88,84.0,53.3
127,0.7573,77.064,1.4631,60.78,86.88,53.4
128,0.7487,77.302,1.5434,60.1,86.31,53.2
129,0.7285,77.838,1.5971,59.84,86.11,53.3
130,0.7073,78.58,1.5633,60.78,85.98,53.1
131,0.7125,78.33,1.6322,59.38,85.56,53.1
132,0.7016,78.658,1.5082,61.13,86.94,53.1
133,0.6856,78.954,1.5621,60.23,86.71,53.5
134,0.6626,79.754,1.5361,60.58,86.61,53.0
135,0.6721,79.31,1.4767,62.27,87.44,53.4
136,0.6421,80.528,1.5305,60.93,86.8,53.3
137,0.6291,80.712,1.4238,62.56,87.94,53.2
138,0.6306,80.576,1.6347,59.96,85.87,53.4
139,0.6189,81.034,1.382,63.92,88.82,53.3
140,0.5912,82.014,1.4952,62.28,87.79,53.2
141,0.5718,82.31,1.4804,63.19,87.43,53.3
142,0.5548,82.914,1.4089,64.52,89.02,53.3
143,0.5634,82.59,1.4389,63.52,88.47,53.2
144,0.5483,83.024,1.5092,62.0,87.35,53.3
145,0.5273,83.812,1.4358,63.94,88.4,53.1
146,0.5068,84.282,1.6211,61.68,87.15,53.1
147,0.5036,84.31,1.4943,63.58,87.72,53.3
148,0.4937,84.536,1.4581,63.93,88.52,53.2
149,0.4751,85.274,1.4147,64.98,88.76,53.4
150,0.4633,85.48,1.5731,62.56,87.21,53.2
151,0.4477,86.15,1.5202,63.72,88.07,53.3
152,0.4288,86.608,1.516,63.32,87.77,53.2
153,0.4073,87.424,1.4931,63.88,88.23,53.6
154,0.3932,87.818,1.429,65.6,88.99,53.3
155,0.3848,87.986,1.3883,65.89,89.44,53.7
156,0.3609,88.718,1.3646,66.49,89.51,53.4
157,0.3553,89.014,1.4857,64.77,88.7,53.2
158,0.3347,89.754,1.4253,66.15,88.9,53.1
159,0.3203,90.054,1.3755,66.27,89.48,53.2
160,0.3177,90.324,1.3419,67.44,89.71,53.3
161,0.2996,90.808,1.286,68.57,90.91,53.4
162,0.2814,91.456,1.3172,67.76,90.48,53.5
163,0.2666,91.9,1.3337,68.23,90.32,53.4
164,0.2531,92.298,1.3266,68.39,90.36,53.3
165,0.2412,92.756,1.3109,68.58,90.58,53.2
166,0.229,93.106,1.3401,68.38,90.7,53.5
167,0.2108,93.838,1.3494,68.29,90.18,53.5
168,0.2001,94.134,1.3474,68.6,90.24,53.2
169,0.186,94.612,1.348,68.7,90.5,53.4
170,0.1765,94.93,1.3368,68.58,90.8,53.2
171,0.163,95.396,1.2773,69.71,91.35,53.0
172,0.1546,95.736,1.2994,69.76,90.85,53.3
173,0.1493,95.892,1.2811,70.5,91.28,53.4
174,0.1385,96.32,1.2917,69.97,91.17,53.2
175,0.1302,96.494,1.3008,69.65,91.12,53.3
176,0.1225,96.778,1.2671,70.54,91.35,53.2
177,0.1152,97.042,1.2847,70.58,91.63,53.2
178,0.1081,97.302,1.2807,70.6,91.45,53.2
179,0.1025,97.49,1.2787,70.55,91.66,53.3
180,0.0978,97.706,1.2896,71.16,91.41,53.3
181,0.094,97.792,1.2702,71.13,91.51,53.1
182,0.0908,97.892,1.2768,70.83,91.44,53.0
183,0.0844,98.19,1.2663,71.07,91.49,53.2
184,0.082,98.234,1.2791,71.4,91.59,53.2
185,0.0782,98.326,1.2674,71.02,91.73,53.2
186,0.0755,98.416,1.2671,71.19,91.6,53.1
187,0.0732,98.434,1.2607,71.27,91.59,53.0
188,0.0712,98.552,1.2671,71.3,91.66,53.2
189,0.0701,98.546,1.2664,71.46,91.73,53.2
190,0.0693,98.666,1.2649,71.33,91.78,53.3
191,0.067,98.686,1.2657,71.51,91.62,53.2
192,0.0666,98.706,1.2613,71.39,91.86,53.2
193,0.0655,98.75,1.2662,71.23,91.69,53.3
194,0.0641,98.762,1.2682,71.18,91.64,53.6
195,0.0636,98.806,1.2711,71.27,91.58,53.4
196,0.0644,98.806,1.2663,71.33,91.7,53.3
197,0.0636,98.796,1.2685,71.28,91.7,53.5
198,0.0634,98.77,1.266,71.33,91.82,53.5
199,0.0622,98.94,1.2668,71.15,91.75,53.4
200,0.0637,98.774,1.2694,71.15,91.68,53.6
