epoch,tr_loss,tr_acc,val_loss,val_acc1,val_acc5,time_s
1,3.8939,9.456,3.6559,12.67,38.0,36.3
2,3.1836,20.468,3.1993,21.0,51.49,36.5
3,2.6841,30.152,2.8915,26.87,59.32,36.5
4,2.3413,37.396,2.3928,37.02,69.42,36.3
5,2.0851,43.208,2.4951,35.56,68.65,36.2
6,1.8958,47.542,2.1242,43.8,75.59,36.6
7,1.7467,51.216,2.2717,40.9,73.32,36.6
8,1.6408,53.832,2.1295,45.28,77.1,36.4
9,1.552,56.054,2.5039,40.84,71.43,36.5
10,1.4764,58.038,1.8431,50.71,80.16,36.5
11,1.4175,59.49,1.9043,49.04,80.62,36.5
12,1.3676,60.864,1.8196,51.58,81.46,36.4
13,1.3232,61.822,2.0391,48.9,79.37,36.4
14,1.2807,62.972,1.8671,50.27,82.07,36.5
15,1.2516,63.672,1.7427,53.7,83.56,36.4
16,1.2257,64.382,1.7758,52.31,81.93,36.3
17,1.1842,65.468,1.667,54.54,84.63,36.3
18,1.1562,66.46,2.0725,49.17,79.0,36.6
19,1.1327,66.906,1.7757,53.16,82.67,36.5
20,1.1146,67.32,2.1747,48.36,78.94,36.4
21,1.0958,67.946,1.8769,53.0,81.96,36.4
22,1.0825,68.376,1.7586,54.35,83.27,36.1
23,1.0553,69.248,1.9851,51.27,80.41,36.3
24,1.0513,69.108,1.8513,52.53,82.32,36.3
25,1.0272,69.998,1.8333,52.85,82.29,36.3
26,1.017,70.062,1.6484,56.48,84.95,36.5
27,1.0086,70.014,2.1055,50.33,80.29,36.4
28,0.9935,70.84,1.5641,57.85,85.67,36.5
29,0.984,70.846,1.6173,56.17,85.16,36.5
30,0.9625,71.44,2.4006,47.63,76.57,36.4
31,0.9715,71.152,1.7588,55.2,83.64,36.3
32,0.959,71.456,1.7548,55.66,84.52,36.3
33,0.9411,71.974,1.7238,55.37,83.74,36.1
34,0.9417,72.036,1.7,56.06,84.22,36.2
35,0.9261,72.458,1.6089,58.08,85.6,36.2
36,0.91,73.11,1.9484,52.18,80.81,36.2
37,0.9097,72.996,1.7292,56.24,83.76,36.2
38,0.9048,73.066,1.8215,54.63,83.17,36.1
39,0.8911,73.578,1.7008,56.41,84.94,36.2
40,0.8851,73.896,1.6525,58.44,85.81,36.2
41,0.8727,73.974,1.6075,58.68,85.21,36.3
42,0.8706,73.96,1.6298,57.85,84.96,36.3
43,0.8582,74.166,1.8992,53.63,81.59,36.2
44,0.8591,74.43,1.7136,56.99,84.44,36.2
45,0.8538,74.418,1.6549,58.07,85.22,36.2
46,0.8422,74.936,1.8731,54.39,82.77,36.3
47,0.8412,74.986,1.7176,56.62,84.8,36.1
48,0.8273,75.1,1.6901,58.65,85.37,36.2
49,0.8129,75.806,1.8854,55.01,82.46,36.2
50,0.8118,75.576,1.7395,56.58,84.38,36.2
51,0.8176,75.474,1.6666,58.06,85.09,36.1
52,0.8021,75.92,1.6381,58.43,85.29,36.3
53,0.7993,75.984,1.9637,52.12,80.87,36.1
54,0.7879,76.146,1.7096,56.67,83.92,36.1
55,0.7911,76.344,1.8868,54.41,83.0,36.1
56,0.7764,76.738,1.793,56.04,83.96,36.2
57,0.77,76.8,1.9046,54.62,82.6,36.2
58,0.7664,76.8,1.663,56.56,85.61,36.2
59,0.7699,77.034,1.7449,55.83,83.92,36.3
60,0.7594,77.112,1.6974,58.21,84.03,36.3
61,0.7411,77.71,1.4791,62.2,87.62,36.2
62,0.7353,78.042,1.6701,57.14,84.72,36.3
63,0.7289,78.204,1.6612,58.47,85.53,36.1
64,0.725,77.978,1.8372,56.68,84.55,36.2
65,0.7272,77.952,1.5474,61.31,87.05,36.2
66,0.7209,78.282,1.5313,60.48,86.54,36.3
67,0.7186,78.24,1.6795,59.38,85.61,36.3
68,0.7195,78.188,1.8367,55.59,84.39,36.5
69,0.7003,78.964,1.5636,61.21,86.58,36.2
70,0.6828,79.316,1.7072,57.95,85.3,36.4
71,0.6851,79.41,1.4858,61.99,87.59,36.5
72,0.6811,79.41,1.8338,57.07,83.05,36.3
73,0.6853,79.284,1.592,60.0,86.02,36.3
74,0.6688,79.982,1.705,57.28,85.61,36.4
75,0.6664,79.708,1.6229,60.56,85.33,36.3
76,0.6516,80.168,1.5455,61.03,87.18,36.3
77,0.6594,79.954,1.7325,58.32,84.46,36.3
78,0.6578,79.894,1.8065,57.05,84.01,36.4
79,0.6406,80.526,1.6264,59.84,85.79,36.2
80,0.6291,81.078,1.6679,58.66,86.05,36.3
81,0.6337,80.726,1.8324,57.25,84.35,36.6
82,0.6144,81.388,1.7588,59.06,85.16,36.5
83,0.6159,81.486,1.686,59.35,86.05,36.5
84,0.6094,81.466,1.7549,58.53,84.54,36.2
85,0.5939,81.984,1.7254,59.49,85.62,36.2
86,0.5745,82.554,1.5357,61.7,87.65,36.1
87,0.5982,81.908,1.6934,59.55,85.93,36.2
88,0.5751,82.508,1.4793,62.81,87.94,36.3
89,0.5665,82.96,1.6154,60.77,86.34,36.3
90,0.5664,82.678,1.7437,59.61,86.11,36.3
91,0.5504,83.192,1.6158,61.19,86.38,36.2
92,0.5534,83.194,1.5004,62.8,88.18,36.1
93,0.5377,83.596,1.4328,63.89,87.87,36.2
94,0.5309,83.906,1.5927,60.72,86.66,36.3
95,0.5298,83.892,1.68,60.22,86.21,36.1
96,0.5274,83.902,1.6211,60.51,86.18,36.2
97,0.5101,84.482,1.6534,61.47,86.96,36.2
98,0.5033,84.632,1.7591,59.53,85.67,36.3
99,0.5045,84.606,1.7025,60.53,86.39,36.2
100,0.5006,84.71,1.5853,62.01,87.4,36.2
101,0.4817,85.406,1.5115,63.11,87.29,36.4
102,0.4767,85.496,1.4722,63.71,88.19,36.4
103,0.4697,85.554,1.6163,62.28,86.97,36.4
104,0.4625,85.982,1.6112,61.97,86.87,36.3
105,0.4518,86.17,1.4892,63.55,88.64,36.4
106,0.4467,86.52,1.5676,62.81,87.83,36.4
107,0.4257,87.176,1.5706,62.66,87.48,36.1
108,0.4264,87.142,1.651,62.02,86.63,36.2
109,0.4292,86.988,1.7479,61.44,87.06,36.2
110,0.4187,87.32,1.5972,61.31,87.12,36.1
111,0.4155,87.296,1.4634,64.74,88.38,36.3
112,0.4002,88.012,1.5102,63.17,87.89,36.1
113,0.4014,87.836,1.5776,63.13,87.39,36.1
114,0.3832,88.59,1.6019,62.58,87.99,36.3
115,0.3707,88.908,1.517,64.26,88.78,36.2
116,0.3663,89.018,1.6049,63.64,88.08,36.3
117,0.3618,89.166,1.6824,61.63,87.36,36.2
118,0.351,89.506,1.6817,62.12,87.4,36.2
119,0.3424,89.686,1.5405,63.97,88.39,36.3
120,0.3311,90.176,1.5758,63.28,87.97,36.2
121,0.3215,90.476,1.5566,63.58,88.36,36.1
