epoch,tr_loss,tr_acc,val_loss,val_acc1,val_acc5,time_s
1,3.8187,10.818,3.7051,14.03,38.56,30.7
2,3.1685,21.778,3.1662,22.34,51.92,30.4
3,2.8384,27.876,2.8535,28.34,59.66,30.6
4,2.5774,33.206,2.9408,28.42,59.19,30.5
5,2.3769,37.666,2.6287,33.74,65.61,30.4
6,2.2038,41.35,2.4014,37.91,71.13,30.3
7,2.0575,44.898,2.8369,34.62,65.18,30.3
8,1.9583,47.372,2.5625,37.56,69.35,30.2
9,1.8536,49.492,2.4471,40.89,71.45,30.3
10,1.7786,51.404,2.3573,42.52,73.26,30.4
11,1.7204,52.85,2.2661,42.95,74.95,30.5
12,1.6549,54.278,2.5356,39.5,71.54,30.3
13,1.6136,55.534,2.0833,46.61,76.96,30.5
14,1.5773,56.168,2.6114,39.97,70.71,30.6
15,1.5392,57.226,2.3904,43.27,73.69,30.4
16,1.5074,57.946,2.0159,48.11,78.08,30.5
17,1.4736,58.464,2.0235,49.21,78.81,30.4
18,1.4431,59.54,2.4953,42.25,74.6,30.4
19,1.4258,59.75,1.892,49.85,79.45,30.3
20,1.4007,60.768,1.998,49.54,79.08,30.4
21,1.3871,61.058,2.0149,50.2,79.06,30.4
22,1.3635,61.714,2.0463,48.31,78.92,30.3
23,1.3437,62.38,1.9552,50.37,79.33,30.3
24,1.3316,62.334,1.9773,48.9,79.42,30.3
25,1.3211,62.636,2.0466,48.15,77.96,30.3
26,1.2984,63.218,1.9034,49.95,80.58,30.2
27,1.2815,63.774,2.2197,46.21,75.46,30.4
28,1.2806,63.782,2.133,48.55,78.22,30.2
29,1.2555,64.456,1.917,50.65,80.1,30.5
30,1.25,64.642,2.1678,47.67,76.62,30.4
31,1.2403,64.698,1.8119,52.08,81.97,30.3
32,1.2228,65.454,1.9513,50.77,80.05,30.4
33,1.2213,65.37,2.286,46.68,76.06,30.3
34,1.2137,65.64,1.9942,49.84,79.21,30.4
35,1.2089,65.74,1.9214,50.26,79.91,30.3
36,1.2095,65.6,2.3272,46.87,77.21,30.1
37,1.1802,66.576,2.0209,49.76,79.38,30.2
38,1.1716,66.558,2.0214,50.02,78.61,30.3
39,1.1804,66.584,2.0515,49.5,80.12,30.2
40,1.1631,66.816,1.9119,52.13,80.42,30.1
41,1.1552,66.96,2.1445,48.64,78.92,30.5
42,1.1502,67.212,2.1946,47.25,77.24,30.4
43,1.1505,67.314,1.8656,51.99,81.0,30.4
44,1.1338,67.584,2.0397,50.74,79.16,30.2
45,1.1287,67.672,2.2855,45.7,76.35,30.3
46,1.1181,67.96,2.1863,48.17,77.67,30.3
47,1.1149,68.208,1.8871,52.13,81.61,30.4
48,1.1107,68.206,1.9241,52.48,80.91,30.4
49,1.1057,68.418,1.7736,53.83,82.85,30.5
50,1.0951,68.686,1.9489,51.23,79.32,30.6
51,1.0948,68.564,2.4338,46.78,76.4,30.5
52,1.089,68.588,2.2857,48.3,76.58,30.3
53,1.0802,69.02,2.0995,50.93,79.43,30.3
54,1.0689,69.206,1.7963,54.17,82.76,30.3
55,1.0697,69.358,1.8077,53.71,81.89,30.4
56,1.0585,69.498,2.0034,51.48,79.95,30.3
57,1.0661,69.224,2.341,46.39,74.61,30.2
58,1.0561,69.728,1.8179,53.88,81.09,30.1
59,1.0464,69.91,1.9354,52.1,81.58,30.4
60,1.0543,69.652,2.0666,51.84,80.59,30.3
61,1.0421,69.776,1.8697,52.85,82.31,30.3
62,1.0312,70.312,1.968,51.82,80.48,30.1
63,1.0188,70.902,1.9222,53.11,81.47,30.4
64,1.0148,70.83,1.7861,54.76,82.42,30.3
65,1.0178,70.88,1.8384,52.84,81.55,30.4
66,1.0139,70.79,1.7449,55.42,82.98,30.3
67,0.9882,71.644,1.7964,54.5,82.94,30.2
68,0.9953,71.426,1.9615,52.98,80.93,30.4
69,0.9812,71.896,1.9959,52.28,81.71,30.1
70,0.9758,71.638,1.7141,55.62,83.03,30.2
71,0.9754,71.902,2.1906,49.87,78.87,30.2
72,0.9732,71.772,1.9138,51.93,81.35,30.3
73,0.967,72.176,1.811,54.48,82.7,30.2
74,0.9632,72.134,1.716,56.4,83.52,30.1
75,0.9454,72.818,1.9071,53.97,82.57,30.3
76,0.954,72.384,1.8798,53.51,82.13,30.5
77,0.9524,72.422,1.883,53.08,82.2,30.4
78,0.9343,73.108,1.7997,54.92,83.92,30.2
79,0.9314,72.736,2.0717,50.37,80.48,30.3
80,0.9304,73.102,1.7205,55.73,83.83,30.3
81,0.9132,73.574,1.7966,54.77,82.41,30.3
82,0.9093,73.554,1.8976,53.3,81.79,30.5
83,0.9087,73.828,2.2615,50.84,80.75,30.3
84,0.9059,73.918,1.7181,56.14,83.13,30.2
85,0.908,73.676,1.8314,54.81,83.28,30.3
86,0.8885,74.382,1.8642,53.77,82.14,30.3
87,0.8713,74.726,2.1727,51.42,80.51,30.5
88,0.8806,74.36,1.8773,54.71,82.37,30.7
89,0.8615,75.018,2.1128,51.64,79.67,30.4
90,0.8584,74.85,1.7361,56.03,84.21,30.3
91,0.8522,75.152,1.6857,57.73,84.52,30.4
92,0.8297,75.78,1.7693,56.09,83.61,30.3
93,0.8406,75.596,2.0363,52.66,81.43,30.1
94,0.8208,76.196,1.9658,53.7,81.06,30.1
95,0.8187,76.228,1.7108,57.07,84.62,30.2
96,0.8186,76.252,1.8444,53.71,82.53,30.3
97,0.811,76.27,1.7773,55.6,83.14,30.5
98,0.81,76.412,1.7229,57.08,83.41,30.3
99,0.7964,76.98,1.8849,54.28,82.2,30.5
100,0.7735,77.458,1.7507,56.5,84.23,30.4
101,0.7843,77.148,2.0638,52.14,80.84,30.3
102,0.7806,77.238,1.8866,54.58,82.58,30.2
103,0.7676,77.764,1.9455,55.16,83.32,30.7
104,0.7729,77.584,1.7157,57.74,84.33,30.4
105,0.7597,77.916,1.716,57.72,84.57,30.3
106,0.7447,78.346,1.8291,55.84,83.12,30.4
107,0.7416,78.39,1.6805,58.41,84.67,30.4
108,0.7271,78.75,1.7704,57.79,84.95,30.5
109,0.7135,79.192,1.7255,58.15,84.91,30.3
110,0.7142,79.084,1.7779,56.44,84.4,30.5
111,0.7089,79.402,1.7322,56.91,83.99,30.5
112,0.6899,79.988,1.6304,59.15,85.81,30.3
113,0.6849,80.176,1.5623,60.28,86.1,30.6
114,0.6771,80.39,1.7504,57.18,84.73,30.2
115,0.6634,80.798,1.7161,58.59,85.06,30.5
116,0.6574,81.0,1.7441,57.42,84.88,30.5
117,0.6487,81.202,1.7534,58.82,84.29,30.3
118,0.643,81.462,1.9127,56.77,83.44,30.2
119,0.6496,81.032,1.5709,60.9,85.73,30.3
120,0.6287,81.804,1.7826,57.69,85.15,30.4
121,0.6216,81.962,1.6738,58.72,85.21,30.3
122,0.5976,82.948,1.6611,59.69,85.93,30.3
123,0.611,82.294,1.7443,57.58,84.59,30.3
124,0.605,82.388,1.6474,60.37,86.14,30.3
125,0.5854,83.436,1.5958,59.85,85.79,30.2
126,0.5772,83.464,1.6293,59.45,85.85,30.2
