epoch,tr_loss,tr_acc,val_loss,val_acc1,val_acc5,time_s
1,4.2304,4.418,4.0905,5.11,23.17,46.4
2,3.7642,10.236,3.6107,12.2,37.5,46.3
3,3.472,15.286,3.6824,12.64,36.54,46.3
4,3.1603,20.45,3.249,19.34,48.13,46.1
5,2.8431,26.312,4.131,16.23,42.26,46.0
6,2.5893,31.302,3.184,22.68,53.09,46.2
7,2.3905,35.772,3.0573,27.79,57.7,46.6
8,2.2378,38.884,2.6367,32.97,65.82,46.4
9,2.1122,41.82,2.7283,30.99,64.13,46.4
10,2.0419,43.518,2.7181,32.95,67.02,46.2
11,1.9489,45.756,2.297,40.08,72.22,46.2
12,1.8864,47.454,2.5021,35.49,68.31,46.3
13,1.8354,48.304,2.8286,33.36,64.39,46.3
14,1.7712,50.432,2.3839,40.32,71.72,46.3
15,1.7377,51.114,2.7895,35.11,68.07,46.3
16,1.7112,51.716,2.1171,43.62,76.22,46.3
17,1.6698,52.916,2.4042,39.14,70.79,46.3
18,1.6335,53.7,2.2719,42.04,75.02,46.2
19,1.5966,54.71,2.3167,41.71,74.0,46.2
20,1.5807,54.88,3.2211,32.18,61.23,46.3
21,1.5453,55.802,2.1521,44.57,76.12,46.4
22,1.5188,56.752,2.1852,44.36,75.3,46.3
23,1.4877,57.754,2.1203,45.38,76.6,46.1
24,1.4746,58.046,2.1996,44.01,76.14,46.0
25,1.4579,58.27,2.3269,41.35,73.46,46.1
26,1.4426,58.55,1.9773,48.14,78.75,46.4
27,1.4355,58.754,2.1764,44.97,76.74,46.3
28,1.4218,59.276,2.0443,47.63,78.29,46.2
29,1.3932,60.112,1.8719,50.45,80.52,46.2
30,1.3856,60.268,1.8199,50.93,81.35,46.2
31,1.3757,60.584,1.9512,48.95,79.03,46.3
32,1.3598,60.834,1.8611,50.53,80.28,46.1
33,1.3491,61.124,1.7902,52.41,81.29,46.2
34,1.3366,61.398,2.1124,46.29,76.88,46.6
35,1.3287,61.672,1.8229,51.52,81.25,46.5
36,1.3143,62.028,2.2281,47.03,75.37,46.5
37,1.3065,62.336,2.1034,46.74,77.06,46.3
38,1.3025,62.504,2.11,47.18,78.08,46.2
39,1.2656,63.268,2.1159,47.48,77.32,46.1
40,1.2845,62.732,2.0352,48.56,79.91,46.1
41,1.2642,63.272,1.9916,48.71,79.69,46.3
42,1.2545,63.464,1.7157,52.55,83.39,46.4
43,1.2408,64.17,2.2441,45.82,76.87,46.2
44,1.2495,63.74,2.8492,41.15,71.32,46.3
45,1.2215,64.546,1.8755,51.35,80.34,46.4
46,1.219,64.442,1.8048,52.12,81.06,46.3
47,1.2077,65.082,1.9742,50.8,79.78,46.4
48,1.2033,65.042,2.0855,47.92,78.34,46.3
49,1.1996,65.226,1.9628,50.65,79.66,46.2
50,1.185,65.414,2.2179,47.34,76.17,46.5
