epoch,tr_loss,tr_acc,val_loss,val_acc1,val_acc5,time_s
1,3.9911,7.814,3.7277,11.14,35.59,44.9
2,3.3303,17.61,3.5436,16.05,42.99,43.3
3,2.8099,27.448,2.9249,26.44,58.5,43.3
4,2.4412,34.792,2.7734,29.52,62.19,43.5
5,2.1743,40.73,2.4537,36.18,68.78,43.5
6,1.9909,45.106,2.3442,39.21,73.01,43.5
7,1.8371,48.672,2.2721,40.53,73.41,43.5
8,1.7238,51.606,2.2712,42.19,74.63,43.5
9,1.6397,53.538,2.4306,40.57,72.67,43.5
10,1.5704,55.384,2.1462,44.0,74.95,43.6
11,1.5079,56.956,2.0677,45.95,77.59,43.5
12,1.4444,58.452,2.1296,46.64,77.03,43.4
13,1.4134,59.58,2.4572,40.84,73.32,43.5
14,1.372,60.522,1.9886,47.52,78.74,43.4
15,1.3401,61.694,1.8241,52.0,82.31,43.3
16,1.2985,62.464,2.1687,46.3,76.89,43.3
17,1.2717,62.918,2.0337,47.54,78.8,43.4
18,1.2369,64.038,2.2532,45.29,76.65,43.5
19,1.219,64.462,1.8309,50.76,81.27,43.3
20,1.1966,65.136,1.9578,49.74,79.49,43.5
21,1.1791,65.866,1.766,52.64,82.32,43.5
22,1.1538,66.328,1.9612,50.33,80.11,43.4
23,1.1478,66.774,2.126,47.22,78.32,43.6
24,1.116,67.208,1.7795,53.71,82.41,43.6
25,1.1138,67.516,2.1383,47.11,77.73,43.5
26,1.0895,67.914,2.3724,45.02,75.38,43.4
27,1.0781,68.45,1.719,54.72,83.86,43.3
28,1.0755,68.474,2.14,47.75,78.33,43.3
29,1.0582,69.132,1.7601,55.93,83.89,43.2
30,1.0396,69.316,2.0664,49.63,79.08,43.2
31,1.0276,69.7,1.7476,54.47,83.54,43.2
32,1.0385,69.486,1.7797,54.85,83.07,43.2
33,1.0208,69.818,1.8937,53.7,81.29,43.3
34,0.9983,70.558,1.7921,53.88,82.78,43.3
35,0.9902,70.766,1.7993,54.82,83.14,43.2
36,0.9982,70.65,1.7656,53.55,82.77,43.1
37,0.981,70.884,1.6727,56.29,84.23,43.3
38,0.9691,71.144,1.7944,53.56,82.82,43.3
39,0.9729,71.268,1.821,53.92,82.96,43.2
40,0.9478,71.87,1.5981,57.53,84.39,43.2
41,0.942,72.096,1.6503,56.75,84.99,43.3
42,0.93,72.31,1.7948,55.02,83.14,43.2
43,0.9361,72.138,1.8654,53.43,82.27,43.2
44,0.9114,73.09,1.6575,56.43,84.96,43.2
45,0.9098,73.028,1.5555,59.23,87.0,43.2
46,0.8955,73.244,2.0588,50.63,80.27,43.2
47,0.9084,72.906,1.7003,57.02,84.57,43.2
48,0.8946,73.476,1.6422,56.77,85.42,43.3
49,0.8834,73.604,1.6569,57.57,84.86,43.1
50,0.8809,73.784,1.8646,55.04,83.25,43.2
51,0.8754,73.87,1.9032,54.81,82.76,43.1
52,0.8669,74.35,1.6851,57.38,85.24,43.3
53,0.8661,74.064,1.5769,58.79,86.72,43.2
54,0.8586,74.24,1.931,54.74,82.43,43.2
55,0.8497,74.654,1.7526,56.65,84.55,43.2
56,0.8319,75.076,1.5612,58.57,85.82,43.3
