epoch,tr_loss,tr_acc,val_loss,val_acc1,val_acc5,time_s
1,4.1165,5.866,3.8736,8.58,30.94,45.6
2,3.5988,12.816,3.5273,13.95,40.94,45.5
3,3.1989,19.548,3.3656,18.94,47.62,45.4
4,2.8062,26.988,3.1078,23.8,54.42,45.6
5,2.4998,33.4,3.1516,24.37,55.87,45.4
6,2.2653,38.348,2.7609,30.59,63.56,45.7
7,2.0788,42.346,2.508,35.16,68.43,45.6
8,1.9598,45.336,2.5889,34.71,69.1,45.4
9,1.8678,47.532,2.5802,35.13,67.54,45.7
10,1.775,50.072,2.0879,43.51,76.79,45.6
11,1.7168,51.418,2.4179,38.63,71.63,45.6
12,1.6611,52.898,2.3198,40.29,74.1,45.8
13,1.603,54.466,1.9954,46.89,78.38,45.4
14,1.5583,55.642,2.19,43.46,76.57,45.6
15,1.5294,56.524,2.3107,43.11,74.63,45.3
16,1.4877,57.308,1.9121,49.07,79.21,45.2
17,1.4454,58.564,1.8276,50.14,81.21,45.3
18,1.4166,59.37,2.0065,47.38,77.98,45.1
19,1.3865,60.26,2.0731,45.9,78.18,45.3
20,1.3774,60.212,2.4868,41.32,73.64,45.1
21,1.3547,61.204,2.1199,46.92,76.74,45.2
22,1.3313,61.432,2.4008,41.99,73.52,45.2
23,1.3186,61.84,2.2146,44.24,75.23,45.3
24,1.2838,62.614,1.9552,48.74,79.64,45.4
25,1.2719,63.104,1.8874,49.1,80.61,45.3
26,1.2417,63.854,2.0799,48.52,78.37,45.4
27,1.2506,63.708,1.9589,50.27,79.95,45.4
28,1.2168,64.562,1.6384,56.1,84.07,45.4
29,1.2191,64.492,1.8373,52.37,81.45,45.3
30,1.1991,65.128,2.0701,48.93,78.62,45.2
31,1.1934,65.262,2.4914,44.33,74.57,45.2
32,1.1791,65.514,1.955,50.08,79.77,45.4
33,1.1621,66.252,2.2143,46.46,77.4,45.3
34,1.1601,66.194,1.7534,54.16,83.05,45.2
35,1.1451,66.482,1.8347,53.05,82.19,45.4
36,1.1407,66.694,1.7195,54.01,83.78,45.3
37,1.1279,67.048,1.823,53.18,82.48,45.4
38,1.1138,67.252,1.8998,51.66,81.34,45.3
39,1.1176,67.188,2.2587,47.28,77.8,45.4
40,1.0985,67.744,1.675,55.19,84.65,45.3
41,1.0882,67.874,1.74,54.74,83.12,45.3
42,1.0776,68.334,1.8889,51.97,80.8,45.3
43,1.0749,68.536,1.7984,53.34,82.58,45.4
44,1.0672,68.478,2.152,49.69,77.38,45.6
45,1.0621,68.602,1.6946,55.06,84.03,45.4
46,1.0524,69.03,2.0173,50.41,79.91,45.2
47,1.0433,69.33,1.7388,54.78,82.88,45.2
48,1.034,69.428,2.3195,46.23,75.55,45.4
49,1.0328,69.642,1.8489,53.2,82.02,45.3
50,1.0213,69.884,2.0018,50.82,80.04,45.4
51,1.0201,69.886,1.7213,55.57,82.42,45.3
52,0.9978,70.502,1.982,51.8,80.07,45.3
53,1.0009,70.424,1.7918,53.49,82.0,45.3
54,0.9902,70.5,1.9816,50.72,79.75,45.2
55,0.9843,70.804,1.9092,51.5,81.51,45.3
56,0.9752,71.116,1.7639,54.89,82.96,45.1
57,0.9744,70.996,1.7401,55.61,84.1,45.3
58,0.9636,71.284,1.8562,52.82,81.7,45.5
59,0.9673,71.288,2.0162,51.07,79.73,45.3
60,0.9545,71.754,1.5239,59.82,86.32,45.6
61,0.9396,72.328,2.0545,51.62,79.31,45.5
62,0.9306,72.326,1.8075,54.39,82.29,45.1
63,0.9199,72.46,1.6468,57.8,84.6,45.1
64,0.9251,72.324,1.6538,56.82,85.08,45.1
65,0.9145,72.596,1.8964,53.26,81.42,45.1
66,0.9157,72.456,1.5225,59.33,86.56,45.0
67,0.9052,72.87,1.585,59.21,85.83,45.3
68,0.8998,72.968,1.725,56.27,84.78,45.3
69,0.8854,73.482,1.9398,54.22,81.23,45.1
70,0.89,73.316,1.67,57.25,84.3,45.4
71,0.8891,73.562,1.9502,52.32,80.75,45.2
72,0.8747,73.69,1.5772,59.0,85.71,45.1
73,0.8597,74.23,1.9006,53.35,81.83,45.1
74,0.8576,74.284,1.6829,56.84,85.11,45.2
75,0.8533,74.608,2.0507,49.71,78.37,45.1
76,0.8396,74.71,1.6195,58.93,85.54,45.1
77,0.8372,74.984,1.6901,56.85,84.48,45.2
78,0.8309,74.936,1.8097,55.84,82.95,45.1
79,0.8244,75.248,1.619,59.36,86.16,45.1
80,0.8265,75.148,1.6533,58.13,84.83,45.2
81,0.8014,75.846,1.8341,54.82,83.6,45.2
82,0.8147,75.554,1.5855,59.05,85.76,45.1
83,0.7999,75.908,1.5382,59.32,86.18,45.2
84,0.7935,76.184,1.6166,58.67,85.98,45.2
85,0.7764,76.55,1.4789,61.86,87.52,45.3
86,0.7643,76.824,1.6967,58.45,84.97,45.2
87,0.7619,76.93,1.7333,58.1,84.56,45.1
88,0.7644,76.918,1.4666,61.83,88.16,45.2
89,0.7463,77.652,1.537,61.18,86.37,45.2
90,0.7422,77.59,1.5865,59.53,85.71,45.1
91,0.7403,77.614,1.6164,59.42,85.9,45.3
92,0.7243,77.85,1.6325,59.59,85.73,45.1
93,0.7333,77.798,1.7132,57.67,84.79,45.4
94,0.7218,77.958,1.5203,60.65,86.73,45.5
95,0.7016,78.57,1.6293,58.99,85.42,45.4
96,0.6996,78.568,1.4524,62.67,87.99,45.2
97,0.6903,79.05,1.5875,59.7,85.64,45.2
98,0.6803,79.278,1.5413,61.64,87.39,45.1
99,0.671,79.39,1.5147,61.11,86.98,45.1
100,0.6722,79.458,1.5618,61.08,87.18,44.9
101,0.6589,79.98,1.6511,59.22,85.78,45.1
102,0.6485,80.222,1.5004,61.38,86.93,45.1
103,0.645,80.19,1.5766,59.69,86.52,45.1
104,0.6407,80.244,1.6657,60.79,86.7,45.4
105,0.6224,81.034,1.7132,58.54,85.43,45.2
106,0.618,81.036,1.6017,60.69,86.4,45.3
107,0.6023,81.482,1.5481,62.11,87.1,45.1
108,0.5983,81.548,1.639,60.83,85.64,45.1
109,0.6002,81.636,1.6079,61.46,86.82,45.3
110,0.5826,82.024,1.6115,60.07,86.66,45.1
111,0.5769,82.26,1.51,62.67,87.72,45.4
112,0.5675,82.548,1.4736,63.42,88.01,45.3
113,0.5576,82.744,1.51,62.84,88.07,45.3
114,0.5414,83.32,1.6998,59.58,85.91,45.4
115,0.5324,83.69,1.5669,62.29,87.22,45.3
116,0.532,83.57,1.5754,62.51,87.3,45.2
117,0.523,83.806,1.4907,63.36,87.19,45.5
118,0.5082,84.182,1.6259,61.95,86.98,45.2
119,0.5059,84.28,1.5895,61.98,86.99,45.2
120,0.4951,84.73,1.5872,61.55,86.21,45.3
121,0.4975,84.516,1.4985,63.99,88.29,45.4
122,0.4788,85.176,1.364,66.18,89.56,45.3
123,0.4577,85.874,1.3748,65.6,89.58,45.4
124,0.4537,85.764,1.451,63.98,88.47,45.3
125,0.4471,86.252,1.4632,64.4,88.62,45.2
126,0.433,86.466,1.4387,63.93,88.67,45.1
127,0.4246,86.712,1.328,66.99,89.98,45.1
128,0.4185,87.088,1.3458,66.66,90.02,45.1
129,0.405,87.494,1.468,65.45,88.9,45.2
130,0.4035,87.588,1.3781,66.49,89.17,45.2
131,0.382,88.176,1.4068,65.86,89.52,45.4
132,0.372,88.514,1.4808,63.74,88.39,45.5
133,0.3582,88.906,1.5561,63.69,88.02,45.3
134,0.3588,88.702,1.3856,66.2,89.2,45.2
135,0.3446,89.344,1.3424,66.7,90.1,45.2
136,0.3309,89.84,1.4405,65.18,89.08,45.3
137,0.3218,90.002,1.4148,66.38,89.56,45.1
138,0.3093,90.56,1.4831,65.65,89.09,45.1
139,0.2976,90.93,1.3809,66.79,90.22,45.1
140,0.2826,91.382,1.4414,66.48,89.63,45.1
141,0.2815,91.308,1.3994,67.14,90.23,45.2
142,0.2701,91.804,1.4282,67.54,89.7,45.4
143,0.2643,91.924,1.2825,69.45,91.08,45.3
144,0.2468,92.57,1.3598,68.44,90.46,45.2
145,0.2449,92.54,1.3047,69.2,91.12,45.1
146,0.2131,93.662,1.4135,67.74,90.02,45.2
147,0.2104,93.818,1.3539,68.37,90.61,45.2
148,0.2024,94.07,1.3426,68.68,90.33,45.0
149,0.1875,94.544,1.382,68.3,90.05,45.3
150,0.1868,94.59,1.3323,69.48,90.68,45.4
151,0.1782,94.82,1.2974,69.78,90.96,45.7
152,0.1581,95.57,1.2849,70.4,91.09,45.4
153,0.1588,95.538,1.2751,69.93,91.52,45.2
154,0.1465,96.018,1.299,70.54,91.51,45.1
155,0.1313,96.416,1.2746,70.44,91.49,45.3
156,0.1296,96.502,1.2783,70.85,91.42,45.3
157,0.115,97.012,1.2704,70.88,91.66,45.2
158,0.1045,97.31,1.289,70.75,91.45,45.1
159,0.0977,97.588,1.2738,70.53,91.52,45.1
160,0.0905,97.814,1.2353,71.42,92.23,45.3
161,0.0847,98.008,1.2534,71.53,91.61,45.2
162,0.0793,98.162,1.2586,71.54,92.11,45.2
163,0.0787,98.31,1.2382,71.92,92.0,45.1
164,0.0677,98.618,1.2301,71.56,91.98,45.0
165,0.0617,98.766,1.2468,72.3,92.02,44.9
166,0.0584,98.858,1.2281,71.63,91.82,45.4
167,0.0539,98.994,1.2212,72.49,92.1,45.3
168,0.0498,99.11,1.2302,72.45,91.81,45.2
169,0.0462,99.246,1.1961,72.87,92.03,45.4
170,0.0443,99.312,1.2036,73.17,92.38,45.3
171,0.0408,99.414,1.2032,73.01,92.06,45.2
172,0.0392,99.418,1.1903,72.92,92.34,45.7
173,0.0356,99.572,1.1954,72.8,92.16,45.4
174,0.0348,99.51,1.1841,72.85,92.36,45.3
175,0.0322,99.604,1.1866,73.32,92.24,45.2
176,0.0312,99.668,1.1824,73.21,92.39,45.5
177,0.0296,99.672,1.1787,73.19,92.44,45.1
178,0.028,99.732,1.1798,73.23,92.39,45.0
179,0.0277,99.736,1.1839,73.25,92.36,45.2
180,0.0271,99.746,1.1779,73.49,92.46,45.1
181,0.0263,99.766,1.1766,73.39,92.5,45.3
182,0.0268,99.764,1.1808,73.5,92.41,45.4
183,0.0246,99.812,1.1743,73.69,92.47,45.2
184,0.0248,99.806,1.1738,73.58,92.42,45.2
185,0.023,99.852,1.1702,73.66,92.49,45.3
186,0.0234,99.84,1.1782,73.24,92.43,45.2
187,0.0237,99.826,1.1697,73.56,92.37,45.3
188,0.0224,99.856,1.1701,73.4,92.5,45.3
189,0.0221,99.84,1.1701,73.54,92.41,45.3
190,0.0222,99.832,1.1721,73.53,92.38,45.2
191,0.0221,99.852,1.1703,73.48,92.48,45.3
192,0.0215,99.842,1.1699,73.52,92.4,45.3
193,0.0213,99.846,1.167,73.6,92.57,45.1
194,0.0212,99.86,1.1645,73.53,92.38,45.0
195,0.0211,99.866,1.1706,73.66,92.39,45.3
196,0.0212,99.852,1.1682,73.58,92.48,45.4
197,0.0208,99.882,1.1675,73.58,92.49,45.3
198,0.0217,99.852,1.1704,73.53,92.44,45.3
199,0.0211,99.87,1.1737,73.48,92.39,45.2
200,0.021,99.866,1.1662,73.47,92.54,44.9
